epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.0697256061474132,0.7530286343612335,0.9070435856135844,0.8283499446290143,0.00029815325108927063
2,0.8485753706898458,0.849669603524229,0.8617400663635659,0.8538205980066446,0.00029265847744427303
3,0.767476297291365,0.884636563876652,0.8776988757409131,0.8449612403100775,0.0002836509786282552
4,0.711774026507323,0.909829295154185,0.7994139593172971,0.8704318936877077,0.0002713525491562421
5,0.6843851744340905,0.9215308370044053,0.8172793137538736,0.8626799557032115,0.0002560660171779821
6,0.6464142859769813,0.9384636563876652,0.8230539598602261,0.8737541528239202,0.000238167787843871
7,0.61293933123744,0.9548458149779736,0.8953291387653034,0.8416389811738649,0.00021809857496093204
8,0.5931524757771766,0.963931718061674,0.8182357817657234,0.884828349944629,0.00019635254915624216
9,0.5775930358974944,0.9699889867841409,0.8466564683555104,0.8803986710963455,0.00017346516975603468
10,0.5540450879655746,0.9800385462555066,0.772008918976599,0.8992248062015504,0.00015000000000000001
11,0.5376523786967021,0.9871971365638766,0.7691837704986961,0.9080841638981174,0.0001265348302439654
12,0.5278089379949191,0.9900881057268722,0.8057321143704791,0.8925802879291251,0.0001036474508437579
13,0.5209616058986093,0.9933920704845814,0.8047457447611744,0.893687707641196,8.190142503906799e-05
14,0.5182182780971611,0.9938050660792952,0.781825396969733,0.9003322259136213,6.183221215612905e-05
15,0.5152653730125679,0.9947687224669604,0.7752072832249064,0.9080841638981174,4.393398282201788e-05
16,0.5112529571623529,0.9962830396475771,0.7708838211077524,0.9125138427464009,2.86474508437579e-05
17,0.5085033967368928,0.9975220264317181,0.7674940413942897,0.9125138427464009,1.6349021371744834e-05
18,0.5070935525820643,0.9980726872246696,0.7647098086337051,0.9169435215946844,7.341522555726972e-06
19,0.50582389723887,0.9986233480176211,0.7705885322387036,0.9125138427464009,1.8467489107293517e-06
20,0.505042108276342,0.9990363436123348,0.769380561933169,0.9147286821705426,0.0
