path,true_label,pred_label,confidence,filename,error_pair,source,zip_member
C:\Users\wongc\Desktop\Garbage-Classification-System-main\Garbage-Classification-System-main\data\split_dataset\test\cardboard\TACO_batch_12_000035_crop193.jpg,cardboard,paper,0.9378690123558044,TACO_batch_12_000035_crop193.jpg,cardboard -> paper,TACO,test/cardboard/TACO_batch_12_000035_crop193.jpg
C:\Users\wongc\Desktop\Garbage-Classification-System-main\Garbage-Classification-System-main\data\split_dataset\test\plastic\TACO_batch_15_000024_crop94.jpg,plastic,trash,0.9348920583724976,TACO_batch_15_000024_crop94.jpg,plastic -> trash,TACO,test/plastic/TACO_batch_15_000024_crop94.jpg
C:\Users\wongc\Desktop\Garbage-Classification-System-main\Garbage-Classification-System-main\data\split_dataset\test\paper\TACO_batch_3_IMG_5067_crop182.jpg,paper,cardboard,0.927983820438385,TACO_batch_3_IMG_5067_crop182.jpg,paper -> cardboard,TACO,test/paper/TACO_batch_3_IMG_5067_crop182.jpg
C:\Users\wongc\Desktop\Garbage-Classification-System-main\Garbage-Classification-System-main\data\split_dataset\test\cardboard\TACO_batch_2_000097_crop220.jpg,cardboard,paper,0.9172321557998656,TACO_batch_2_000097_crop220.jpg,cardboard -> paper,TACO,test/cardboard/TACO_batch_2_000097_crop220.jpg
C:\Users\wongc\Desktop\Garbage-Classification-System-main\Garbage-Classification-System-main\data\split_dataset\test\trash\GD_trash_212.jpg,trash,paper,0.9164420366287231,GD_trash_212.jpg,trash -> paper,GD,test/trash/GD_trash_212.jpg
C:\Users\wongc\Desktop\Garbage-Classification-System-main\Garbage-Classification-System-main\data\split_dataset\test\paper\TACO_batch_10_000088_crop35.jpg,paper,cardboard,0.9142794609069824,TACO_batch_10_000088_crop35.jpg,paper -> cardboard,TACO,test/paper/TACO_batch_10_000088_crop35.jpg
C:\Users\wongc\Desktop\Garbage-Classification-System-main\Garbage-Classification-System-main\data\split_dataset\test\battery\GD_battery_490.jpg,battery,metal,0.9129307866096495,GD_battery_490.jpg,battery -> metal,GD,test/battery/GD_battery_490.jpg
C:\Users\wongc\Desktop\Garbage-Classification-System-main\Garbage-Classification-System-main\data\split_dataset\test\cardboard\GD_cardboard_521.jpg,cardboard,trash,0.9092012643814088,GD_cardboard_521.jpg,cardboard -> trash,GD,test/cardboard/GD_cardboard_521.jpg
C:\Users\wongc\Desktop\Garbage-Classification-System-main\Garbage-Classification-System-main\data\split_dataset\test\trash\GD_trash_113.jpg,trash,plastic,0.9090898036956788,GD_trash_113.jpg,trash -> plastic,GD,test/trash/GD_trash_113.jpg
C:\Users\wongc\Desktop\Garbage-Classification-System-main\Garbage-Classification-System-main\data\split_dataset\test\glass\GD_glass_798.jpg,glass,metal,0.9078207015991212,GD_glass_798.jpg,glass -> metal,GD,test/glass/GD_glass_798.jpg
C:\Users\wongc\Desktop\Garbage-Classification-System-main\Garbage-Classification-System-main\data\split_dataset\test\cardboard\TACO_batch_8_000051_crop105.jpg,cardboard,paper,0.9066559076309204,TACO_batch_8_000051_crop105.jpg,cardboard -> paper,TACO,test/cardboard/TACO_batch_8_000051_crop105.jpg
C:\Users\wongc\Desktop\Garbage-Classification-System-main\Garbage-Classification-System-main\data\split_dataset\test\shoes\GD_shoes_26.jpg,shoes,metal,0.9050279259681702,GD_shoes_26.jpg,shoes -> metal,GD,test/shoes/GD_shoes_26.jpg
