path,true_label,pred_label,confidence
/kaggle/working/Garbage-Classification-System/split_data/test/battery/GD_battery_282.jpg,battery,metal,0.5085952877998352
/kaggle/working/Garbage-Classification-System/split_data/test/battery/GD_battery_490.jpg,battery,metal,0.8485242128372192
/kaggle/working/Garbage-Classification-System/split_data/test/biological/GD_biological_41.jpg,biological,plastic,0.4811445474624634
/kaggle/working/Garbage-Classification-System/split_data/test/biological/TACO_batch_1_000094_crop0.jpg,biological,plastic,0.8735311627388
/kaggle/working/Garbage-Classification-System/split_data/test/biological/TACO_batch_4_000054_crop5.jpg,biological,cardboard,0.7203829288482666
/kaggle/working/Garbage-Classification-System/split_data/test/cardboard/GD_cardboard_404.jpg,cardboard,paper,0.8757212162017822
/kaggle/working/Garbage-Classification-System/split_data/test/cardboard/GD_cardboard_521.jpg,cardboard,trash,0.9397577047348022
/kaggle/working/Garbage-Classification-System/split_data/test/cardboard/TACO_batch_10_000083_crop22.jpg,cardboard,paper,0.48672783374786377
/kaggle/working/Garbage-Classification-System/split_data/test/cardboard/TACO_batch_11_000006_crop74.jpg,cardboard,paper,0.3684235215187073
/kaggle/working/Garbage-Classification-System/split_data/test/cardboard/TACO_batch_12_000086_crop180.jpg,cardboard,plastic,0.49797719717025757
/kaggle/working/Garbage-Classification-System/split_data/test/cardboard/TACO_batch_13_000054_crop160.jpg,cardboard,metal,0.45377618074417114
/kaggle/working/Garbage-Classification-System/split_data/test/cardboard/TACO_batch_2_000096_crop135.jpg,cardboard,paper,0.8052210211753845
/kaggle/working/Garbage-Classification-System/split_data/test/cardboard/TACO_batch_2_000097_crop220.jpg,cardboard,paper,0.9094035029411316
/kaggle/working/Garbage-Classification-System/split_data/test/cardboard/TACO_batch_5_000049_crop7.jpg,cardboard,paper,0.7904348969459534
/kaggle/working/Garbage-Classification-System/split_data/test/cardboard/TACO_batch_6_000024_crop117.jpg,cardboard,plastic,0.4415065348148346
/kaggle/working/Garbage-Classification-System/split_data/test/cardboard/TN_cardboard_49.jpg,cardboard,metal,0.8399831652641296
/kaggle/working/Garbage-Classification-System/split_data/test/glass/GD_glass_24.jpg,glass,plastic,0.4385186731815338
/kaggle/working/Garbage-Classification-System/split_data/test/glass/GD_glass_542.jpg,glass,biological,0.939030647277832
/kaggle/working/Garbage-Classification-System/split_data/test/glass/GD_glass_597.jpg,glass,paper,0.56107497215271
/kaggle/working/Garbage-Classification-System/split_data/test/glass/GD_glass_645.jpg,glass,plastic,0.6250686645507812
/kaggle/working/Garbage-Classification-System/split_data/test/glass/GD_glass_652.jpg,glass,metal,0.7542770504951477
/kaggle/working/Garbage-Classification-System/split_data/test/glass/GD_glass_802.jpg,glass,metal,0.8869129419326782
/kaggle/working/Garbage-Classification-System/split_data/test/glass/TACO_batch_10_000013_crop225.jpg,glass,metal,0.4698115885257721
/kaggle/working/Garbage-Classification-System/split_data/test/glass/TACO_batch_14_000097_crop71.jpg,glass,cardboard,0.28373488783836365
/kaggle/working/Garbage-Classification-System/split_data/test/glass/TACO_batch_1_000016_crop1.jpg,glass,plastic,0.6714741587638855
/kaggle/working/Garbage-Classification-System/split_data/test/metal/GD_metal_435.jpg,metal,battery,0.5048134922981262
/kaggle/working/Garbage-Classification-System/split_data/test/metal/TACO_batch_1_000050_crop87.jpg,metal,plastic,0.9131288528442383
/kaggle/working/Garbage-Classification-System/split_data/test/metal/TACO_batch_7_000013_crop74.jpg,metal,paper,0.7641777992248535
